[399.41, 1725.23]
[449.44, 1867.29]
[688.97, 2071.66]
[639.92, 2138.09]
[766.79, 2155.75]
[815.65, 2220.65]
[863.49, 2220.65]
[911.55, 2220.65]
[957.75, 2220.65]
[1008.19, 2169.61]
[1054.46, 2169.61]
[1150.70, 2221.36]
[1152.66, 2076.04]
[1056.32, 2037.27]
[1102.68, 2036.09]
[400.88, 1063.66]
[452.39, 785.66]
[501.38, 931.16]
[549.88, 930.16]
[1683.15, 897.60]
[1730.39, 1045.00]
[1779.94, 1044.54]
[2374.16, 1458.97]
[2420.34, 1458.71]
[2472.36, 1303.61]
[3077.28, 2219.16]
[3026.80, 2219.16]
[2976.92, 2219.16]
[2875.75, 2262.65]
[2919.81, 2262.65]
[1532.45, 526.23]
[1580.40, 616.82]
[1630.24, 616.82]
[1679.77, 616.82]
[1725.65, 616.82]
[1778.18, 571.72]
[1820.18, 571.72]
[2020.90, 571.72]
[2070.86, 572.72]
[2121.79, 573.72]
[2172.98, 622.66]
[2220.49, 622.66]
[2267.06, 622.66]
[2316.48, 622.66]
[2363.14, 622.66]
[2412.46, 673.74]
[2459.20, 673.74]
[2506.35, 673.74]
[2792.58, 865.66]
[2845.33, 958.65]
